Product Name,Description,Price (RM),Category,Conditions,Product Link,SellerID (must be registered in database before)
Samsung Galaxy S23,"The Samsung Galaxy S23 specs are top-notch including a Snapdragon 8 Gen 2 chipset, 8GB RAM coupled with 128/256GB storage, and a 3900mAh battery. The phone sports a 6.1-inch Dynamic AMOLED display with an adaptive 120Hz refresh rate.",3799,Electronic Devices,New,https://www.lazada.com.my/products/samsung-galaxy-5g-8256gb-i3413279230.html?spm=a2o4k.store_product.list.13.7a3a8430VQQqTN,061109011213
Samsung Galaxy S23+,"The Samsung Galaxy S23+ is the bigger sibling of the regular Galaxy S23 with it’s 6.6-inch Dynamic AMOLED display with 120Hz refresh rate. Specs also include Qualcomm Snapdragon 8 Gen 2 processor, 4700mAh battery and Triple camera setup on the back.",4650,Electronic Devices,New,https://www.lazada.com.my/products/samsung-galaxy-5g-i3413213505.html?spm=a2o4k.store_product.list.7.7a3a8430VQQqTN,061109011213
